animal,action,pred_action,shear,shear_pred,shear_prob
dog,feed,feed,0,0,0.8917
dog,feed,pet,0,0,0.6248
cat,shear,shear,1,1,0.4187
dog,feed,feed,0,0,0.1347
sheep,feed,pet,0,0,0.2754
dog,feed,pet,0,0,0.5861
sheep,shear,shear,1,1,0.9894
sheep,shear,shear,1,1,0.8953
cat,feed,feed,0,0,0.8228
cat,shear,pet,1,0,0.9213
dog,pet,pet,0,0,0.4702
dog,feed,feed,0,0,0.0592
cat,feed,shear,0,1,0.1066
cat,pet,pet,0,0,0.4484
dog,shear,pet,1,0,0.7716
sheep,feed,pet,0,0,0.0697
cat,pet,feed,0,0,0.0166
cat,feed,feed,0,0,0.2107
dog,feed,shear,0,1,0.3373
dog,feed,feed,0,0,0.051
sheep,shear,shear,1,1,0.8522
sheep,feed,pet,0,0,0.5731
dog,pet,pet,0,0,0.0056
cat,feed,shear,0,1,0.5028
sheep,feed,shear,0,1,0.5563
sheep,shear,shear,1,1,0.8346
dog,pet,pet,0,0,0.8669
dog,feed,shear,0,1,0.8763
sheep,feed,feed,0,0,0.1233
cat,pet,pet,0,0,0.48
dog,feed,pet,0,0,0.0622
sheep,shear,shear,1,1,0.9446
dog,feed,pet,0,0,0.3154
sheep,shear,shear,1,1,0.9964
dog,feed,shear,0,1,0.748
dog,feed,pet,0,0,0.0203
cat,pet,feed,0,0,0.8965
dog,feed,feed,0,0,0.1316
dog,feed,pet,0,0,0.9488
dog,pet,pet,0,0,0.3843
cat,shear,shear,1,1,0.9919
sheep,shear,shear,1,1,0.9935
dog,pet,pet,0,0,0.467
sheep,pet,pet,0,0,0.0096
dog,feed,feed,0,0,0.6937
sheep,feed,pet,0,0,0.0217
cat,pet,shear,0,1,0.0092
cat,feed,feed,0,0,0.0011
cat,pet,shear,0,1,0.9104
sheep,pet,pet,0,0,0.0108
cat,pet,pet,0,0,0.0079
dog,shear,pet,1,0,0.4103
dog,feed,pet,0,0,0.2189
sheep,shear,shear,1,1,0.624
sheep,feed,feed,0,0,0.7525
sheep,shear,pet,1,0,0.9382
dog,feed,shear,0,1,0.0332
cat,feed,feed,0,0,0.0047
dog,feed,shear,0,1,0.1252
dog,feed,pet,0,0,0.9143
dog,feed,pet,0,0,0.9612
cat,pet,pet,0,0,0.7923
cat,pet,feed,0,0,0.9101
dog,feed,feed,0,0,0.8024
dog,pet,pet,0,0,0.648
sheep,shear,shear,1,1,0.2958
dog,feed,feed,0,0,0.428
sheep,feed,feed,0,0,0.017
cat,feed,feed,0,0,0.0735
dog,feed,shear,0,1,0.056
cat,shear,pet,1,0,0.8443
cat,feed,feed,0,0,0.1092
cat,pet,feed,0,0,0.0141
dog,pet,pet,0,0,0.8207
cat,feed,feed,0,0,0.0871
cat,feed,feed,0,0,0.4467
dog,feed,feed,0,0,0.0452
cat,feed,feed,0,0,0.7669
cat,feed,feed,0,0,0.0952
sheep,feed,pet,0,0,0.0361
cat,feed,feed,0,0,0.0217
dog,feed,feed,0,0,0.7174
cat,feed,feed,0,0,0.4031
cat,feed,shear,0,1,0.5831
cat,feed,feed,0,0,0.0966
cat,feed,feed,0,0,0.0545
dog,shear,shear,1,1,0.9044
cat,feed,feed,0,0,0.1895
cat,pet,pet,0,0,0.0132
dog,feed,pet,0,0,0.0916
dog,pet,pet,0,0,0.1076
dog,feed,pet,0,0,0.0247
dog,feed,shear,0,1,0.4859
sheep,feed,feed,0,0,0.2148
cat,pet,pet,0,0,0.0556
dog,feed,pet,0,0,0.0596
dog,pet,pet,0,0,0.3479
dog,feed,shear,0,1,0.6171
dog,pet,pet,0,0,0.6609
cat,pet,feed,0,0,0.0058
cat,pet,shear,0,1,0
sheep,shear,shear,1,1,0.9891
dog,feed,feed,0,0,0.4837
cat,feed,feed,0,0,0.8097
dog,feed,feed,0,0,0.9706
dog,pet,shear,0,1,0.1244
dog,feed,feed,0,0,0.3534
dog,feed,feed,0,0,0.0818
dog,shear,shear,1,1,0.5481
dog,feed,feed,0,0,0.0477
dog,pet,pet,0,0,0.8222
sheep,shear,shear,1,1,0.6615
cat,pet,pet,0,0,0.0196
sheep,shear,shear,1,1,0.6718
cat,feed,feed,0,0,0.1458
dog,feed,feed,0,0,0.0574
dog,pet,shear,0,1,0.3194
cat,pet,pet,0,0,0.2421
cat,shear,feed,1,0,0.3287
dog,feed,feed,0,0,0.0042
sheep,shear,pet,1,0,0.8429
dog,pet,pet,0,0,0.1214
cat,pet,pet,0,0,0.0579
sheep,pet,feed,0,0,0.2255
sheep,shear,shear,1,1,0.9669
dog,shear,shear,1,1,0.959
dog,feed,pet,0,0,0.5322
cat,pet,pet,0,0,0.1269
cat,shear,shear,1,1,0.4864
cat,feed,feed,0,0,0.367
dog,feed,shear,0,1,0.0633
sheep,shear,shear,1,1,0.7919
cat,feed,feed,0,0,0.0027
dog,feed,pet,0,0,0.6333
dog,feed,feed,0,0,0.9048
sheep,shear,shear,1,1,0.9921
cat,feed,shear,0,1,0.1433
cat,feed,feed,0,0,0.1867
cat,pet,shear,0,1,0.0071
dog,feed,feed,0,0,0.8735
sheep,pet,pet,0,0,0.0164
dog,shear,shear,1,1,0.6876
cat,pet,pet,0,0,0.3835
dog,pet,pet,0,0,0.0336
cat,pet,pet,0,0,0.225
sheep,feed,pet,0,0,0.0446
dog,feed,feed,0,0,0.0248
dog,shear,shear,1,1,0.3264
dog,feed,feed,0,0,0.1027
cat,pet,shear,0,1,0.5996
sheep,feed,pet,0,0,0.1533
dog,pet,pet,0,0,0.7245
dog,feed,shear,0,1,0.004
cat,feed,feed,0,0,0.3632
dog,feed,feed,0,0,0.3757
sheep,feed,pet,0,0,0.354
sheep,shear,shear,1,1,0.3049
sheep,shear,shear,1,1,0.691
sheep,pet,pet,0,0,0.1756
sheep,shear,pet,1,0,0.8724
dog,feed,shear,0,1,0.4063
sheep,feed,pet,0,0,0.4696
dog,feed,feed,0,0,0.6724
cat,pet,pet,0,0,0.0504
sheep,feed,pet,0,0,0.1949
dog,feed,shear,0,1,0.2825
cat,feed,pet,0,0,0.7609
cat,feed,feed,0,0,0.0176
dog,shear,shear,1,1,0.8076
cat,feed,feed,0,0,0.2874
dog,pet,pet,0,0,0.902
dog,pet,pet,0,0,0.032
cat,pet,feed,0,0,0.0228
cat,feed,feed,0,0,0.1247
dog,feed,shear,0,1,0.9333
cat,feed,feed,0,0,0.0031
dog,pet,pet,0,0,0.8174
sheep,shear,shear,1,1,0.9883
cat,pet,pet,0,0,0.9442
dog,feed,shear,0,1,0.0364
sheep,feed,pet,0,0,0.3052
dog,feed,shear,0,1,0.0837
dog,feed,pet,0,0,0.4103
cat,feed,feed,0,0,0.2336
dog,pet,pet,0,0,0.642
dog,pet,pet,0,0,0.067
sheep,shear,shear,1,1,0.596
dog,pet,pet,0,0,0.6417
cat,feed,feed,0,0,0.0052
dog,feed,pet,0,0,0.3525
dog,feed,feed,0,0,0.5419
dog,feed,pet,0,0,0.4277
dog,pet,feed,0,0,0.0599
cat,feed,feed,0,0,0.5064
dog,pet,pet,0,0,0.6017
dog,feed,feed,0,0,0.557
sheep,feed,pet,0,0,0.1185
cat,feed,feed,0,0,0.5749
cat,pet,pet,0,0,0.6191
dog,pet,shear,0,1,0.3226
dog,feed,pet,0,0,0.2115
dog,pet,pet,0,0,0.0433
cat,pet,pet,0,0,0.0068
cat,pet,shear,0,1,0.6394
cat,feed,feed,0,0,0.373
sheep,shear,shear,1,1,0.9909
dog,pet,pet,0,0,0.095
cat,feed,feed,0,0,0
dog,pet,feed,0,0,0.9569
cat,pet,pet,0,0,0.0089
dog,shear,shear,1,1,0.9896
sheep,shear,shear,1,1,0.9988
sheep,feed,pet,0,0,0.2928
cat,pet,pet,0,0,0.2714
dog,feed,feed,0,0,0.039
cat,feed,feed,0,0,0.4558
cat,pet,pet,0,0,0.1273
cat,feed,feed,0,0,0.0192
cat,feed,feed,0,0,0.0105
cat,shear,feed,1,0,0.8802
cat,feed,feed,0,0,0.0283
cat,feed,feed,0,0,0.6303
cat,pet,pet,0,0,0.0171
sheep,feed,pet,0,0,0.32
cat,feed,feed,0,0,0.639
sheep,feed,feed,0,0,0.0388
sheep,shear,shear,1,1,0.835
dog,shear,shear,1,1,0.3548
dog,feed,shear,0,1,0.2397
dog,shear,shear,1,1,0.6625
cat,feed,feed,0,0,0.2398
cat,feed,feed,0,0,0.5131
sheep,feed,pet,0,0,0.429
sheep,pet,feed,0,0,0.0496
sheep,shear,shear,1,1,0.993
dog,pet,pet,0,0,0.0255
dog,feed,shear,0,1,0.9339
dog,feed,shear,0,1,0.579
cat,pet,feed,0,0,0.1037
dog,pet,pet,0,0,0.2676
cat,shear,shear,1,1,0.9433
sheep,feed,pet,0,0,0.1407
dog,pet,pet,0,0,0.5955
sheep,shear,shear,1,1,0.3915
cat,pet,pet,0,0,0.0052
cat,pet,pet,0,0,0.0122
dog,pet,pet,0,0,0.7893
cat,pet,pet,0,0,0.2758
dog,feed,shear,0,1,0.6082
dog,feed,feed,0,0,0.8629
sheep,feed,pet,0,0,0.0058
dog,pet,pet,0,0,0.0155
dog,pet,pet,0,0,0.1352
sheep,shear,shear,1,1,0.718
dog,pet,pet,0,0,0.229
cat,shear,pet,1,0,0.2882
sheep,feed,pet,0,0,0.4693
sheep,feed,feed,0,0,0.0332
dog,pet,pet,0,0,0.0631
cat,feed,feed,0,0,0.9179
sheep,pet,pet,0,0,0.1752
cat,feed,feed,0,0,0.5082
dog,feed,feed,0,0,0.8924
dog,pet,pet,0,0,0.4553
dog,feed,shear,0,1,0.959
dog,feed,pet,0,0,0.0239
sheep,pet,pet,0,0,0.0023
dog,feed,feed,0,0,0.4894
cat,feed,feed,0,0,0.5102
dog,feed,feed,0,0,0.6223
sheep,shear,shear,1,1,0.7203
cat,feed,feed,0,0,0.0015
cat,pet,pet,0,0,0.0138
sheep,pet,feed,0,0,0.4742
sheep,pet,pet,0,0,0.0031
cat,pet,pet,0,0,0.9765
dog,feed,shear,0,1,0.0001
dog,feed,shear,0,1,0.3839
dog,pet,pet,0,0,0.4906
sheep,shear,shear,1,1,0.9771
dog,pet,pet,0,0,0.9515
cat,feed,shear,0,1,0.0263
cat,pet,shear,0,1,0.0332
dog,feed,pet,0,0,0.9121
cat,feed,pet,0,0,0.0016
cat,feed,feed,0,0,0.0004
dog,pet,pet,0,0,0.706
dog,pet,pet,0,0,0.0141
sheep,feed,feed,0,0,0.0428
cat,feed,pet,0,0,0.0015
sheep,feed,pet,0,0,0.1829
dog,feed,feed,0,0,0.8334
cat,pet,pet,0,0,0.8694
cat,shear,shear,1,1,0.6778
sheep,pet,pet,0,0,0.5269
cat,pet,pet,0,0,0.8351
dog,feed,pet,0,0,0.1885
cat,pet,shear,0,1,0.0121
dog,pet,feed,0,0,0.7654
dog,pet,pet,0,0,0.9319
dog,feed,pet,0,0,0.5363
dog,feed,pet,0,0,0.8145
cat,feed,feed,0,0,0.5137
cat,pet,pet,0,0,0.2578
sheep,shear,shear,1,1,0.9679
dog,feed,feed,0,0,0.7029
dog,pet,shear,0,1,0.0038
sheep,pet,pet,0,0,0.0047
cat,feed,feed,0,0,0.6279
dog,feed,shear,0,1,0.4552
dog,feed,feed,0,0,0.0485
cat,feed,feed,0,0,0.0682
cat,feed,feed,0,0,0.0507
cat,shear,feed,1,0,0.6954
dog,feed,pet,0,0,0.6531
cat,feed,feed,0,0,0.9868
cat,pet,feed,0,0,0.2262
cat,pet,pet,0,0,0.0601
dog,shear,pet,1,0,0.5544
cat,feed,feed,0,0,0.0123
dog,pet,pet,0,0,0.0466
dog,feed,feed,0,0,0.8807
dog,feed,pet,0,0,0.047
sheep,feed,feed,0,0,0.0446
sheep,shear,shear,1,1,0.9876
dog,feed,pet,0,0,0.6263
cat,pet,shear,0,1,0.013
cat,feed,feed,0,0,0.2359
dog,feed,feed,0,0,0.5493
dog,feed,shear,0,1,0.2914
sheep,feed,feed,0,0,0.2439
cat,feed,feed,0,0,0.0402
dog,pet,pet,0,0,0.0081
cat,feed,shear,0,1,0.2342
sheep,pet,pet,0,0,0.2832
cat,feed,feed,0,0,0.6674
dog,shear,pet,1,0,0.5128
cat,pet,pet,0,0,0
sheep,feed,pet,0,0,0.0078
cat,feed,pet,0,0,0.6785
dog,pet,shear,0,1,0.0503
cat,feed,shear,0,1,0.1098
dog,feed,feed,0,0,0.1669
sheep,feed,shear,0,1,0.0825
cat,pet,pet,0,0,0.7359
dog,pet,pet,0,0,0.187
dog,feed,shear,0,1,0.699
cat,shear,shear,1,1,0.609
cat,pet,pet,0,0,0.0265
dog,feed,shear,0,1,0.1424
cat,pet,feed,0,0,0.6599
dog,feed,feed,0,0,0.3386
dog,feed,pet,0,0,0.7727
sheep,shear,shear,1,1,0.9283
dog,shear,shear,1,1,0.8703
cat,pet,pet,0,0,0.2419
cat,feed,pet,0,0,0.126
cat,pet,feed,0,0,0.2956
dog,feed,feed,0,0,0.3624
cat,pet,pet,0,0,0.1026
cat,feed,pet,0,0,0.9397
dog,feed,feed,0,0,0.964
dog,feed,pet,0,0,0.8523
dog,feed,feed,0,0,0.5574
dog,pet,pet,0,0,0.6568
sheep,pet,pet,0,0,0.575
cat,feed,pet,0,0,0.4197
cat,feed,feed,0,0,0.3832
cat,pet,pet,0,0,0.315
cat,feed,shear,0,1,0.7091
dog,feed,pet,0,0,0.6998
dog,feed,feed,0,0,0.9685
cat,pet,feed,0,0,0.0588
cat,pet,shear,0,1,0.5727
sheep,feed,pet,0,0,0.8793
cat,pet,shear,0,1,0.3555
cat,feed,feed,0,0,0.109
cat,feed,feed,0,0,0.0004
dog,shear,feed,1,0,0.9569
dog,feed,shear,0,1,0.6968
dog,feed,feed,0,0,0.9729
sheep,feed,pet,0,0,0.039
sheep,feed,pet,0,0,0.0506
cat,feed,shear,0,1,0.3373
dog,feed,feed,0,0,0.948
sheep,pet,pet,0,0,0.0845
cat,feed,feed,0,0,0.0811
dog,pet,shear,0,1,0.4376
dog,feed,feed,0,0,0.0535
cat,feed,feed,0,0,0.998
sheep,feed,pet,0,0,0.3421
sheep,feed,feed,0,0,0.6333
dog,pet,pet,0,0,0.4235
cat,pet,pet,0,0,0.3282
dog,shear,shear,1,1,0.6762
cat,feed,pet,0,0,0.4464
cat,pet,pet,0,0,0.0101
sheep,feed,feed,0,0,0.1406
dog,shear,shear,1,1,0.7763
sheep,shear,pet,1,0,0.927
sheep,pet,pet,0,0,0.0005
sheep,feed,pet,0,0,0.1679
cat,feed,feed,0,0,0.0147
dog,shear,shear,1,1,0.9673
cat,feed,shear,0,1,0.2989
cat,pet,pet,0,0,0.7721
cat,feed,feed,0,0,0.1245
dog,feed,shear,0,1,0.7494
sheep,shear,shear,1,1,0.9896
cat,feed,feed,0,0,0.3618
cat,shear,pet,1,0,0.9642
cat,feed,feed,0,0,0.0014
dog,feed,shear,0,1,0.9985
dog,feed,pet,0,0,0.2556
sheep,feed,feed,0,0,0.0511
dog,feed,pet,0,0,0.0734
sheep,feed,pet,0,0,0.2223
dog,shear,pet,1,0,0.6948
cat,pet,pet,0,0,0.0007
dog,feed,feed,0,0,0.2883
dog,pet,pet,0,0,0.6815
dog,pet,pet,0,0,0.2479
dog,pet,pet,0,0,0.5849
dog,feed,feed,0,0,0.2118
cat,pet,pet,0,0,0.1297
dog,feed,feed,0,0,0.4821
dog,feed,feed,0,0,0.2509
cat,pet,pet,0,0,0.0578
cat,pet,pet,0,0,0.1927
cat,feed,feed,0,0,0.7404
cat,feed,feed,0,0,0.0253
sheep,feed,pet,0,0,0.6233
sheep,feed,pet,0,0,0.3992
cat,pet,feed,0,0,0.4203
sheep,feed,pet,0,0,0.0023
sheep,pet,pet,0,0,0.3425
cat,pet,pet,0,0,0.0194
cat,pet,pet,0,0,0.7929
cat,feed,feed,0,0,0.1125
cat,feed,feed,0,0,0.9697
sheep,shear,shear,1,1,0.99
dog,feed,shear,0,1,0.228
cat,feed,feed,0,0,0.4035
dog,pet,pet,0,0,0.5795
sheep,shear,pet,1,0,0.9198
sheep,feed,feed,0,0,0.0469
cat,pet,feed,0,0,0.0612
dog,feed,pet,0,0,0.0497
cat,feed,feed,0,0,0.5373
dog,pet,pet,0,0,0.0739
dog,feed,shear,0,1,0.6963
cat,pet,pet,0,0,0.3209
sheep,shear,shear,1,1,0.9042
dog,feed,feed,0,0,0.9687
sheep,feed,feed,0,0,0.0942
cat,feed,shear,0,1,0.0418
dog,feed,feed,0,0,0.5743
cat,pet,feed,0,0,0.0474
cat,feed,feed,0,0,0.3152
dog,pet,pet,0,0,0.091
dog,feed,feed,0,0,0.9395
cat,shear,shear,1,1,0.6543
cat,shear,feed,1,0,0.9966
sheep,pet,pet,0,0,0.2802
dog,pet,pet,0,0,0.3007
cat,pet,pet,0,0,0.6669
cat,pet,pet,0,0,0.1879
dog,feed,feed,0,0,0.9747
cat,pet,pet,0,0,0.2809
cat,shear,feed,1,0,0.8146
dog,feed,pet,0,0,0.1618
sheep,shear,shear,1,1,0.9132
cat,feed,feed,0,0,0.0423
sheep,feed,feed,0,0,0.4144
cat,feed,feed,0,0,0.2079
cat,pet,pet,0,0,0.7736
dog,feed,pet,0,0,0.978
dog,shear,shear,1,1,0.532
sheep,feed,feed,0,0,0.1361
dog,feed,shear,0,1,0.1693
dog,pet,pet,0,0,0.0452
cat,pet,shear,0,1,0.3541
sheep,pet,pet,0,0,0.4576
cat,pet,pet,0,0,0.0355
dog,feed,shear,0,1,0.3893
dog,feed,feed,0,0,0.1102
sheep,feed,pet,0,0,0.0082
dog,feed,shear,0,1,0.4602
sheep,feed,pet,0,0,0.3606
dog,feed,shear,0,1,0.8562
cat,shear,pet,1,0,0.5541
dog,feed,shear,0,1,0.8158
cat,shear,shear,1,1,0.5291
sheep,feed,pet,0,0,0.2832
sheep,feed,shear,0,1,0.0052
sheep,pet,feed,0,0,0.4909
dog,feed,shear,0,1,0.7894
cat,pet,pet,0,0,0.3423
cat,pet,feed,0,0,0.2931
