group,outcome,pred last year,pred never,pred not last year,adj last year,adj never,adj not last year,,adj last year,adj never,adj not last year,
non-white,last year,0.99,0,0.01,0.91,0.05,0.04,odds goal with macro loss,0.91,0.05,0.04,odds goal with micro loss
,never,0.12,0.74,0.14,0.21,0.44,0.36,,0.21,0.44,0.36,
,not last year,0.36,0.32,0.32,0.37,0.2,0.42,,0.37,0.2,0.42,
,,,,,,,,,,,,
white,last year,0.91,0.01,0.08,0.91,0.02,0.06,,0.91,0.02,0.06,
,never,0.11,0.64,0.25,0.11,0.44,0.45,,0.11,0.44,0.45,
,not last year,0.37,0.17,0.46,0.37,0.21,0.42,,0.37,0.21,0.42,
,,,,,,,,,,,,
,,,,,0.91,0.04,0.05,strict goal with macro loss,0.91,0.04,0.05,strict goal with micro loss
,,,,,0.13,0.7,0.17,,0.13,0.7,0.17,
,,,,,0.38,0.31,0.31,,0.38,0.31,0.31,
,,,,,,,,,,,,
,,,,,0.91,0.04,0.05,,0.91,0.04,0.05,
,,,,,0.13,0.7,0.17,,0.13,0.7,0.17,
,,,,,0.38,0.31,0.31,,0.38,0.31,0.31,
,,,,,,,,,,,,
,,,,,0.91,0,0.09,opportunity goal with macro loss,0.92,0,0.08,opportunity goal with micro loss
,,,,,0.11,0.69,0.2,,0.11,0.64,0.24,
,,,,,0.33,0.3,0.37,,0.34,0.28,0.39,
,,,,,,,,,,,,
,,,,,0.91,0.03,0.06,,0.92,0.01,0.06,
,,,,,0.11,0.69,0.2,,0.15,0.64,0.21,
,,,,,0.37,0.26,0.37,,0.44,0.17,0.39,